#Slot	MaxCardinality
hasDeliveryMethod	1
hasStandardError	1
hasStemCellSourceType	1
hasOrganismSpecies	1
hasApplicationInstrument	1
hasTemporalInterval	-1
hasNonNumericValue	1
hasCompoundBiologicalRelation	1
hasDepth	1
hasConstraint	-1
hasInjuryLocation	1
hasInjuryDevice	1
hasDifference	1
hasTrend	1
hasOverexpressedTarget	-1
hasWeight	1
hasKnockoutTarget	-1
hasObservation	-1
hasForce	1
hasStatisticalTest	1
hasGroupName	-1
hasInjuryModel	1
hasSupplier	1
hasMedication	-1
hasOrganismModel	1
hasFrequency	1
hasAutonomicDysreflexiaParameter	-1
hasInjuryIntensity	1
hasInjuryArea	1
hasSignificance	1
hasLadderRungParameter	-1
belongsTo	1
hasCompound	1
hasUpperVertebrae	1
hasEventBefore	1
hasAge	1
hasFootprintAnalysisParameter	-1
hasLongitude	1
hasTotalPopulationSize	1
hasHindpawSensationParameter	-1
hasLocation	1
hasBBBParameter	-1
hasEventAfter	1
hasLowerVertebrae	1
hasThickness	1
hasNNumber	1
hasInvestigationMethod	1
hasSuppliedCompositeCompound	-1
hasAdhesiveRemovalParameter	-1
hasTemperature	1
hasStandardDeviation	1
hasNumericValue	1
hasThermalHyperalgesiaParameter	-1
hasChemicalCompound	-1
hasMember	-1
hasReferenceGroup	1
hasInjuryAnaesthesia	-1
hasPValue	1
hasAgeCategory	1
hasDirection	-1
hasDistance	1
hasBladderFunctionParameter	-1
hasCardioVascularFunctionParameter	-1
hasInterval	1
hasAlphaSignificanceNiveau	1
hasValue	1
hasCurrent	1
hasTreatmentType	-1
hasInjuryByAccidentType	-1
hasVoltage	1
hasLightIntensity	1
hasInjuryPostsurgicalCare	-1
hasPressure	1
makesUseOf	-1
hasExperimentalProcedure	-1
hasPairwisedCompareGroups	-1
hasAnimalCareCondition	-1
hasLocations	-1
hasWalkingAnalysisParameter	-1
hasTissueSourceLocation	1
relativeTo	1
hasVolume	1
hasJudgement	1
hasGender	1
hasShamOperation	1
hasIntraSpinalLocation	1
hasHistologicalInvestigationParameter	-1
hasTargetGroup	1
hasDuration	1
hasRehabMedication	1
hasAutomatedGaitAnalysisParameter	-1
hasElectricFieldStrength	1
hasGroupNumber	1
hasDosage	1
hasNarrowBeamParameter	-1
hasElectrophysiologyParameter	-1
