AMFLTemplate,BigramTemplate,BMFLTemplate,BracketsTemplate,HMTemplate,IdentityTemplate,MentionsInSentenceTemplate,ML12Template,NormalizedAgeTemplate,NormalizedWeightTemplate,NumberMBTemplate,NumberWBTemplate,OverlappingTemplate,RootTypeTemplate,SimilarWordsTemplate,StartsWithCapitalTemplate,WBOTemplate,WBTemplate,WMTemplate,WordCountTemplate,WordsInBetweenTemplate,F1,TotalTime,TrainTime,TestTime,Alpha
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3,659988,520448,139540,0.1
X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,0.48780487804878053,373791,350380,23411,0.1
X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,,,X,X,,0.6262626262626263,627639,488253,139386,0.1
,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.3333333333333333,580276,445120,135156,0.1
X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,0.25,652554,515142,137412,0.1
X,,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,,,X,0.463768115942029,657799,516281,141518,0.1
X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,0.4,649634,511949,137685,0.1
X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,0.2608695652173913,661427,522591,138836,0.1
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7258687258687259,833885,684617,149268,0.01
X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7306273062730626,580750,543407,37343,0.01
X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,,,X,X,,0.6838235294117647,770888,622590,148298,0.01
,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.6666666666666666,700430,555936,144494,0.01
X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,0.736842105263158,821988,675381,146607,0.01
X,,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,,,X,0.6740740740740742,759954,611711,148243,0.01
X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,0.744186046511628,836298,685913,150385,0.01
X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,0.7148288973384029,815320,667163,148157,0.01
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.8135593220338982,1146900,937663,209237,0.001
X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,0.8327645051194539,737240,697701,39539,0.001
X,X,X,X,X,X,,X,X,X,X,X,X,,X,X,,,X,X,,0.8143322475570032,1082869,880432,202437,0.001
,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.678082191780822,958147,771100,187047,0.001
X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,0.8135593220338982,1074999,871905,203094,0.001
X,,X,X,,,X,X,X,X,X,X,X,X,X,,X,X,,,X,0.6917808219178082,950286,758503,191783,0.001
X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,0.8175675675675677,1088302,876997,211305,0.001
X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,0.7524752475247524,1105695,898523,207172,0.001
